date,symbol,name,action,shares,price_usd,fee_usd,total_usd,broker,note
2020-11-06,AAPL,Apple,BUY,3,118.24,1.06,355.78,Firstrade,
2020-12-16,AAPL,Apple,BUY,3,127.45,1.14,383.49,Firstrade,
2021-01-19,AAPL,Apple,BUY,3,127.72,1.14,384.30,Firstrade,
2021-01-26,AAPL,Apple,BUY,3,143.56,1.29,431.97,Firstrade,
2021-02-08,AAPL,Apple,BUY,3,136.11,1.22,409.55,Firstrade,
2021-02-16,AAPL,Apple,BUY,3,135.47,1.21,407.62,Firstrade,
2021-02-26,AAPL,Apple,BUY,3,122.61,1.10,368.93,Firstrade,
2021-03-08,AAPL,Apple,BUY,3,120.92,1.08,363.84,Firstrade,
2021-03-16,AAPL,Apple,BUY,3,125.71,1.13,378.26,Firstrade,
2021-03-26,AAPL,Apple,BUY,3,120.35,1.08,362.13,Firstrade,
2021-04-16,AAPL,Apple,BUY,5,134.51,2.01,674.56,Firstrade,
2021-05-17,AAPL,Apple,BUY,5,126.78,1.90,635.80,Firstrade,
2021-06-16,AAPL,Apple,BUY,5,130.40,1.95,653.95,Firstrade,
2021-07-16,AAPL,Apple,BUY,5,148.53,2.22,744.87,Firstrade,
2021-08-16,AAPL,Apple,BUY,5,148.60,2.22,745.22,Firstrade,
2021-09-16,AAPL,Apple,BUY,5,148.42,2.22,744.32,Firstrade,
2021-10-18,AAPL,Apple,BUY,5,143.45,2.15,719.40,Firstrade,
2021-11-16,AAPL,Apple,BUY,5,150.00,2.25,752.25,Firstrade,
2021-12-16,AAPL,Apple,BUY,5,179.15,2.68,898.43,Firstrade,
2022-01-18,AAPL,Apple,BUY,5,171.47,2.57,859.92,Firstrade,
2022-02-16,AAPL,Apple,BUY,5,171.87,2.57,861.92,Firstrade,
2022-03-16,AAPL,Apple,BUY,5,157.02,2.35,787.45,Firstrade,
2022-04-18,AAPL,Apple,BUY,5,163.90,1.47,820.97,Firstrade,
2022-05-18,AAPL,Apple,BUY,5,145.50,1.30,728.80,Firstrade,
2022-06-16,AAPL,Apple,BUY,1,132.00,0.23,132.23,Firstrade,
