日期,累計kWh,日發電kWh,天氣,UV指數,風速km/h,氣溫°C,備註
2026-05-22,264.8,0.0,晴,3,12.0,29.0,
2026-05-23,265.4,0.6,陰,2,15.0,27.5,
2026-05-24,266.1,0.7,局部多云,4,18.4,31.2,
2026-05-25,266.8,0.7,局部多云,1,8.0,19.0,
2026-05-26,267.7,0.9,Partly cloudy,0,6.0,25.0,
2026-05-27,268.55,0.85,多雲 48% (Open-Meteo),0,5.0,29.3,⚠️ 估計值 (Open-Meteo 推算)
2026-05-28,269.4,0.85,多雲,3,10.0,30.0,
2026-05-29,270.3,0.9,雨天 (雲31%),0,9.0,29.2,⚠️ 從 wttr.in 修為 Open-Meteo 雲林水林實際值
2026-05-30,271.0,0.0,晴 (雲27%),0,12.0,28.4,⚠️ 從 wttr.in 修為 Open-Meteo 雲林水林實際值
2026-05-31,271.9,0.9,Clear,0,8.0,27.0,
2026-06-01,272.7,0.8,雲量 3% (估),0,0,27.5,"⚠️ 自動填補 (Open-Meteo 估, 雲 3%, 輻射 27.4 MJ/m²)"
2026-06-02,273.5,0.7,晴 (雲15%),0,4.0,28.6,⚠️ 從 wttr.in 修為 Open-Meteo 雲林水林實際值
2026-06-03,274.4,0.9,Sunny,0,20.0,31.0,⚠️ wttr.in/水林 geocode 到大陸水林鎮（已修）
2026-06-04,274.9,0.5,"Light Rain, Mist",1,22.0,26.0,
2026-06-17,276.0,1.1,雲量 92% (估),0,0,27.6,"⚠️ 自動填補 (Open-Meteo 估, 雲 92%, 輻射 19.9 MJ/m²)"
2026-06-16,276.0,1.1,雲量 97% (估),0,0,26.0,"⚠️ 自動填補 (Open-Meteo 估, 雲 97%, 輻射 13.6 MJ/m²)"
2026-06-15,276.2,1.3,雲量 100% (估),0,0,24.6,"⚠️ 自動填補 (Open-Meteo 估, 雲 100%, 輻射 3.6 MJ/m²)"
2026-06-14,276.0,1.1,雲量 99% (估),0,0,25.6,"⚠️ 自動填補 (Open-Meteo 估, 雲 99%, 輻射 5.7 MJ/m²)"
2026-06-13,276.0,1.1,雲量 71% (估),0,0,27.0,"⚠️ 自動填補 (Open-Meteo 估, 雲 71%, 輻射 25.8 MJ/m²)"
2026-06-12,276.0,1.1,雲量 80% (估),0,0,26.4,"⚠️ 自動填補 (Open-Meteo 估, 雲 80%, 輻射 17.9 MJ/m²)"
2026-06-11,276.0,1.1,雲量 96% (估),0,0,25.9,"⚠️ 自動填補 (Open-Meteo 估, 雲 96%, 輻射 17.1 MJ/m²)"
2026-06-10,276.0,1.1,雲量 90% (估),0,0,25.9,"⚠️ 自動填補 (Open-Meteo 估, 雲 90%, 輻射 17.0 MJ/m²)"
2026-06-09,276.0,1.1,雲量 100% (估),0,0,25.9,"⚠️ 自動填補 (Open-Meteo 估, 雲 100%, 輻射 6.3 MJ/m²)"
2026-06-08,276.0,1.1,雲量 99% (估),0,0,26.6,"⚠️ 自動填補 (Open-Meteo 估, 雲 99%, 輻射 10.0 MJ/m²)"
2026-06-07,275.7,0.8,雲量 89% (估),0,0,28.1,"⚠️ 自動填補 (Open-Meteo 估, 雲 89%, 輻射 24.6 MJ/m²)"
2026-06-06,276.0,1.1,雲量 71% (估),0,0,28.0,"⚠️ 自動填補 (Open-Meteo 估, 雲 71%, 輻射 25.8 MJ/m²)"
2026-06-05,276.0,1.1,雲量 98% (估),0,0,27.2,"⚠️ 自動填補 (Open-Meteo 估, 雲 98%, 輻射 15.1 MJ/m²)"
2026-06-18,280.1,5.2,雨季（多雲/陰天，6/9-10、6/15大雨）,,,,
2026-06-19,281.0,0.9,雲量 54% (估),0,0,28.3,"⚠️ 自動填補 (Open-Meteo 估, 雲 54%, 輻射 28.1 MJ/m²)"
2026-06-20,281.6,1.5,多雲,,,,
